ID,Title,ShortTitle,Identifier,Summary,Modified,ReasonDelivery,ExplanatoryText,Language,Catalog,Frequency,Period,ShortDescription,Description,DefaultPresentation,DefaultSelection,GraphTypes,OutputStatus,Source,MetaDataModified,SearchPriority
Key,Title,Description,,,,,,,,,,,,,,,,,,
T001038,Totaal mannen en vrouwen,,,,,,,,,,,,,,,,,,,
3000,Mannen,,,,,,,,,,,,,,,,,,,
4000,Vrouwen,,,,,,,,,,,,,,,,,,,
Leeftijd,,,,,,,,,,,,,,,,,,,,
Key,Title,Description,,,,,,,,,,,,,,,,,,
10000,Totaal,,,,,,,,,,,,,,,,,,,
22000,95 jaar of ouder,,,,,,,,,,,,,,,,,,,
70100,0 tot 5 jaar,,,,,,,,,,,,,,,,,,,
70200,5 tot 10 jaar,,,,,,,,,,,,,,,,,,,
70300,10 tot 15 jaar,,,,,,,,,,,,,,,,,,,
70400,15 tot 20 jaar,,,,,,,,,,,,,,,,,,,
70500,20 tot 25 jaar,,,,,,,,,,,,,,,,,,,
70600,25 tot 30 jaar,,,,,,,,,,,,,,,,,,,
70700,30 tot 35 jaar,,,,,,,,,,,,,,,,,,,
70800,35 tot 40 jaar,,,,,,,,,,,,,,,,,,,
70900,40 tot 45 jaar,,,,,,,,,,,,,,,,,,,
71000,45 tot 50 jaar,,,,,,,,,,,,,,,,,,,
71100,50 tot 55 jaar,,,,,,,,,,,,,,,,,,,
71200,55 tot 60 jaar,,,,,,,,,,,,,,,,,,,
71300,60 tot 65 jaar,,,,,,,,,,,,,,,,,,,
71400,65 tot 70 jaar,,,,,,,,,,,,,,,,,,,
71500,70 tot 75 jaar,,,,,,,,,,,,,,,,,,,
71600,75 tot 80 jaar,,,,,,,,,,,,,,,,,,,
71700,80 tot 85 jaar,,,,,,,,,,,,,,,,,,,
71800,85 tot 90 jaar,,,,,,,,,,,,,,,,,,,
71900,90 tot 95 jaar,,,,,,,,,,,,,,,,,,,
Nationaliteit,,,,,,,,,,,,,,,,,,,,
Key,Title,Description,,,,,,,,,,,,,,,,,,
T001059,Totaal,"Inclusief Nederlands en zonder / onbekend. 

Nederlands: 
Nederlands en behandeld als Nederlander. 

Behandeld als Nederlander: 
Bijvoorbeeld Molukkers die, op grond van de Faciliteitenwet Molukkers, waarin wordt bepaald dat zij - als ze niet het Nederlanderschap bezitten (maar Indonesiër of staatloos zijn) - worden behandeld als waren zij Nederlander. Ze zijn dus geen vreemdelingen in de zin van de Vreemdelingenwet maar ook geen Nederlander in de zin van de Rijkswet op het Nederlanderschap. Wel kunnen ze een normaal Nederlands paspoort verkrijgen. 

Zonder / onbekend: 
Personen die door geen enkele staat als onderdaan worden beschouwd of van wie de nationaliteit niet kan worden vastgesteld.",,,,,,,,,,,,,,,,,,
NAT9489,Totaal niet-Nederlandse nationaliteit,"Persoon die niet de Nederlandse nationaliteit bezit en niet op grond van een wettelijke bepaling als Nederlander moet worden behandeld. 
Niet inbegrepen zijn:
- niet-Nederlandse diplomaten en niet-Nederlandse NAVO militairen die in Nederland wonen;
- asielzoekers die korter dan zes maanden in de centrale opvang in Nederland verblijven en nog geen verblijfsvergunning hebben gekregen.",,,,,,,,,,,,,,,,,,
NAT9267,Nederlands,"Nederlands en behandeld als Nederlander. 

Behandeld als Nederlander: Bijvoorbeeld Molukkers die, op grond van de Faciliteitenwet Molukkers, waarin wordt bepaald dat zij - als ze niet het Nederlanderschap bezitten (maar Indonesiër of staatloos zijn) - worden behandeld als waren zij Nederlander. Ze zijn dus geen vreemdelingen in de zin van de Vreemdelingenwet maar ook geen Nederlander in de zin van de Rijkswet op het Nederlanderschap. Wel kunnen ze een normaal Nederlands paspoort verkrijgen.",,,,,,,,,,,,,,,,,,
NAT9269,Afrika,,,,,,,,,,,,,,,,,,,
NAT9270,Amerika,,,,,,,,,,,,,,,,,,,
NAT9271,Azië,,,,,,,,,,,,,,,,,,,
NAT9272,Europa (exclusief Nederlands),"Inclusief personen 'Behandeld als Nederlander'.
Bijvoorbeeld Molukkers die, op grond van de Faciliteitenwet Molukkers, worden behandeld als waren zij Nederlander indien ze niet het Nederlanderschap bezitten (maar Indonesiër of staatloos zijn). Ze zijn dus geen vreemdelingen in de zin van de Vreemdelingenwet maar ook geen Nederlander in de zin van de Rijkswet op het Nederlanderschap. Wel kunnen ze een normaal Nederlands paspoort verkrijgen.",,,,,,,,,,,,,,,,,,
NAT9274,Oceanië,,,,,,,,,,,,,,,,,,,
NAT9275,Europese Unie (exclusief Nederlands),"Europese Unie: 
Samenwerkingsverband van Europese staten, onder deze naam opgericht in 1993 door het Verdrag van Maastricht, maar met voorlopers in de jaren /""/50 van de vorige eeuw, gericht op het bereiken van gemeenschappelijke doelen op het politieke, economische en juridische vlak. 
Een belangrijk doel is het vrije verkeer van personen, goederen, diensten en kapitaal binnen het samenwerkingsverband. Op veel terreinen hebben de lidstaten bevoegdheden overgedragen aan het samenwerkingsverband, daarnaast zijn er terreinen waarbij het zelfbeschikkingsrecht van de lidstaten is gehandhaafd en besluiten alleen bij eenstemmigheid kunnen worden genomen. 

De Europese Unie bestaat uit de volgende landen, exclusief Nederland: 
Vanaf 1-1-1958: België, Bondsrepubliek Duitsland, Frankrijk, Italië en Luxemburg. 
Toegetreden op 1-1-1973: Denemarken, Ierland en Verenigd Koninkrijk. 
Toegetreden op 1-1-1981: Griekenland.
Toegetreden op 1-1-1986: Portugal en Spanje. 
Toegetreden op 1-1-1995: Oostenrijk, Finland en Zweden. 
Toegetreden op 1-5-2004: Cyprus, Estland, Hongarije, Letland, Litouwen, Malta, Polen, Slowakije, Slovenië en Tsjechië. 
Toegetreden op 1-1-2007: Bulgarije, Roemenië. 
Toegetreden op 1-7-2013: Kroatië.
Verlaten op 31-1-2020: Verenigd Koninkrijk.",,,,,,,,,,,,,,,,,,
NAT9277,Midden- en Oost-Europese nat. in de EU,"Midden- en Oost-Europese nationaliteiten in de Europese Unie. 

Midden- en Oost-Europese landen in de Europese Unie: 
Toegetreden op 1-5-2004: Estland, Hongarije, Letland, Litouwen, Polen, Slowakije, Slovenië en Tsjechië. 
Toegetreden op 1-1-2007: Bulgarije, Roemenië. 
Toegetreden op 1-7-2013: Kroatië.

Europese Unie: 
Samenwerkingsverband tussen Europese lidstaten. ",,,,,,,,,,,,,,,,,,
NAT9481,GIPS-Nationaliteiten in de EU,"GIPS-nationaliteiten in de Europese Unie

GIPS-landen: 
Griekenland, Italië, Portugal en Spanje. 

Europese Unie: 
Samenwerkingsverband tussen Europese lidstaten. ",,,,,,,,,,,,,,,,,,
NAT9482,Westerse nationaliteiten ex. Nederlands,"Westerse nationaliteiten (exclusief Nederlands) 
Westerse nationaliteiten: Nationaliteiten behorend bij landen in Europa (exclusief Turkije), Noord-Amerika en Oceanië, en Indonesië en Japan.",,,,,,,,,,,,,,,,,,
NAT9483,Niet-westerse nationaliteiten,"Nationaliteiten behorend bij landen in Afrika, Latijns-Amerika en Azië (exclusief Indonesië en Japan) of Turkije.",,,,,,,,,,,,,,,,,,
NAT9281,Amerikaans,Amerikaans burger en Amerikaans onderdaan.,,,,,,,,,,,,,,,,,,
NAT9292,Belgisch,,,,,,,,,,,,,,,,,,,
NAT9300,Braziliaans,,,,,,,,,,,,,,,,,,,
NAT9301,Brits,"Brits burger, Brits onderdaan, Brits overzees burger, Burger Britse afhankelijke gebieden en British National (overseas).",,,,,,,,,,,,,,,,,,
NAT9303,Bulgaars,,,,,,,,,,,,,,,,,,,
NAT9322,Burger van Bondsrepubliek Duitsland,Burger Bondsrepubliek Duitsland en Oost-duits.,,,,,,,,,,,,,,,,,,
NAT9310,Chinees,,,,,,,,,,,,,,,,,,,
NAT9326,Eritrees,,,,,,,,,,,,,,,,,,,
NAT9332,Frans,,,,,,,,,,,,,,,,,,,
NAT9338,Grieks,,,,,,,,,,,,,,,,,,,
NAT9345,Hongaars,,,,,,,,,,,,,,,,,,,
NAT9346,Iers,,,,,,,,,,,,,,,,,,,
NAT9348,Indiaas,,,,,,,,,,,,,,,,,,,
NAT9349,Indonesisch,,,,,,,,,,,,,,,,,,,
NAT9350,Iraaks,,,,,,,,,,,,,,,,,,,
NAT9353,Italiaans,,,,,,,,,,,,,,,,,,,
NAT9356,Japans,,,,,,,,,,,,,,,,,,,
NAT9387,Marokkaans,,,,,,,,,,,,,,,,,,,
NAT9415,Pools,,,,,,,,,,,,,,,,,,,
NAT9416,Portugees,,,,,,,,,,,,,,,,,,,
NAT9417,Roemeens,,,,,,,,,,,,,,,,,,,
NAT9418,Russisch,,,,,,,,,,,,,,,,,,,
NAT9440,Spaans,,,,,,,,,,,,,,,,,,,
NAT9442,Surinaams,,,,,,,,,,,,,,,,,,,
NAT9444,Syrisch,,,,,,,,,,,,,,,,,,,
NAT9448,Thais,,,,,,,,,,,,,,,,,,,
NAT9458,Turks,,,,,,,,,,,,,,,,,,,
NAT9475,Overig Afrika,,,,,,,,,,,,,,,,,,,
NAT9476,Overig Amerika,,,,,,,,,,,,,,,,,,,
NAT9477,Overig Azië,,,,,,,,,,,,,,,,,,,
NAT9478,Overige Europa ( exclusief Nederlands),,,,,,,,,,,,,,,,,,,
NAT9480,Staatloos / onbekend,Personen die door geen enkele staat als onderdaan worden beschouwd of van wie de nationaliteit niet kan worden vastgesteld.,,,,,,,,,,,,,,,,,,
RegioS,,,,,,,,,,,,,,,,,,,,
Key,Title,Description,,,,,,,,,,,,,,,,,,
NL01  ,Nederland,"Grenswijziging per 01-01-2018:
- Ontvangen van Buitenland (NL98), 16 hectare met 0 woningen en 0 inwoners
... Eijsden-Margraten (GM1903) ontvangt van Buitenland (GM0998), 16 hectare met 0 woningen en 0 inwoners
Grenswijziging per 01-01-2018:
- Over naar Buitenland (NL98), 5 hectare met 0 woningen en 0 inwoners
... Over van Eijsden-Margraten (GM1903) naar Buitenland (GM0998), 5 hectare met 0 woningen en 0 inwoners

",,,,,,,,,,,,,,,,,,
LD01  ,Noord-Nederland (LD),"LD = Landsdeel

Noord-Nederland: Groningen, Fryslân, Drenthe

Regionale groepering van provincies. Nederland telt 4 landsdelen.

Grenswijziging per 01-01-1997:
- Ontvangen van Oost-Nederland (LD02), 81 hectare met 5 woningen en 10 inwoners
... Meppel (GM0119) ontvangt van Staphorst (GM0180), 81 hectare met 5 woningen en 10 inwoners

",,,,,,,,,,,,,,,,,,
LD02  ,Oost-Nederland (LD),"LD = Landsdeel

Oost-Nederland: Overijssel, Flevoland, Gelderland

Regionale groepering van provincies. Nederland telt 4 landsdelen.

Grenswijziging per 01-01-2016:
- Ontvangen van Zuid-Nederland (LD04), 0 hectare met 0 woningen en 5 inwoners
... Berg en Dal (GM1945) ontvangt van Mook en Middelaar (GM0944), 0 hectare met 0 woningen en 5 inwoners

Grenswijziging per 01-01-1998:
- Over naar West-Nederland (LD03), 489 hectare met 153 woningen en 454 inwoners
... Over van Ede (GM0228) naar Veenendaal (GM0345), 180 hectare met 60 woningen en 207 inwoners
... Over van Hoevelaken (GM0253) naar Amersfoort (GM0307), 160 hectare met 70 woningen en 184 inwoners
... Over van Nijkerk (GM0267) naar Amersfoort (GM0307), 149 hectare met 23 woningen en 63 inwoners

Grenswijziging per 01-01-1997:
- Over naar Noord-Nederland (LD01), 81 hectare met 5 woningen en 10 inwoners
... Over van Staphorst (GM0180) naar Meppel (GM0119), 81 hectare met 5 woningen en 10 inwoners

Grenswijziging per 01-01-1995:
- Over naar West-Nederland (LD03), 33 hectare met 0 woningen en 0 inwoners
... Over van Openbaar Lichaam Zuidelijke IJsselmeerpolders (GM0996) naar Diemen (GM0384), 26 hectare met 0 woningen en 0 inwoners
... Over van Openbaar Lichaam Zuidelijke IJsselmeerpolders (GM0996) naar Muiden (GM0424), 7 hectare met 0 woningen en 0 inwoners

",,,,,,,,,,,,,,,,,,
LD03  ,West-Nederland (LD),"LD = Landsdeel

West-Nederland: Utrecht, Noord-Holland, Zuid-Holland, Zeeland

Regionale groepering van provincies. Nederland telt 4 landsdelen.

Grenswijziging per 01-01-1998:
- Ontvangen van Oost-Nederland (LD02), 489 hectare met 153 woningen en 454 inwoners
... Veenendaal (GM0345) ontvangt van Ede (GM0228), 180 hectare met 60 woningen en 207 inwoners
... Amersfoort (GM0307) ontvangt van Hoevelaken (GM0253), 160 hectare met 70 woningen en 184 inwoners
... Amersfoort (GM0307) ontvangt van Nijkerk (GM0267), 149 hectare met 23 woningen en 63 inwoners

Grenswijziging per 01-01-1995:
- Ontvangen van Oost-Nederland (LD02), 33 hectare met 0 woningen en 0 inwoners
... Diemen (GM0384) ontvangt van Openbaar Lichaam Zuidelijke IJsselmeerpolders (GM0996), 26 hectare met 0 woningen en 0 inwoners
... Muiden (GM0424) ontvangt van Openbaar Lichaam Zuidelijke IJsselmeerpolders (GM0996), 7 hectare met 0 woningen en 0 inwoners

",,,,,,,,,,,,,,,,,,
LD04  ,Zuid-Nederland (LD),"LD = Landsdeel

Zuid-Nederland: Noord-Brabant, Limburg

Regionale groepering van provincies. Nederland telt 4 landsdelen.

Grenswijziging per 01-01-2018:
- Ontvangen van Buitenland (LD98), 16 hectare met 0 woningen en 0 inwoners
... Eijsden-Margraten (GM1903) ontvangt van Buitenland (GM0998), 16 hectare met 0 woningen en 0 inwoners
Grenswijziging per 01-01-2018:
- Over naar Buitenland (LD98), 5 hectare met 0 woningen en 0 inwoners
... Over van Eijsden-Margraten (GM1903) naar Buitenland (GM0998), 5 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-2016:
- Over naar Oost-Nederland (LD02), 0 hectare met 0 woningen en 5 inwoners
... Over van Mook en Middelaar (GM0944) naar Berg en Dal (GM1945), 0 hectare met 0 woningen en 5 inwoners

",,,,,,,,,,,,,,,,,,
PV20  ,Groningen (PV),"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.

Grenswijziging per 01-01-2021:
- Over naar Fryslân (PV21), 25 hectare met 0 woningen en 0 inwoners
... Over van Het Hogeland (GM1966) naar Schiermonnikoog (GM0088), 25 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-2009:
- Ontvangen van Drenthe (PV22), 3 hectare met 0 woningen en 0 inwoners
... Groningen (GM0014) ontvangt van Noordenveld (GM1699), 3 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-2006:
- Over naar Fryslân (PV21), 61 hectare met 0 woningen en 0 inwoners
... Over van Eemsmond (GM1651) naar Schiermonnikoog (GM0088), 61 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-1998:
- Ontvangen van Drenthe (PV22), 81 hectare met 17 woningen en 86 inwoners
... Groningen (GM0014) ontvangt van het opgeheven Eelde (GM0113), 81 hectare met 17 woningen en 86 inwoners
- Over naar Fryslân (PV21), 0 hectare met 1 woning en 5 inwoners
... Over van Marum (GM0025) naar Smallingerland (GM0090), 0 hectare met 1 woning en 5 inwoners

",,,,,,,,,,,,,,,,,,
PV21  ,Fryslân (PV),"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.

Vanaf 01-01-2020 hanteert het CBS de Friese naam (Fryslân) voor de provincie Friesland. Bij actualisering van tabellen wordt deze taalwijziging doorgevoerd. Stopgezette tabellen worden niet meer aangepast.

Grenswijziging per 01-01-2021:
- Ontvangen van Groningen (PV20), 25 hectare met 0 woningen en 0 inwoners
... Schiermonnikoog (GM0088) ontvangt van Het Hogeland (GM1966), 25 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-2006:
- Ontvangen van Groningen (PV20), 61 hectare met 0 woningen en 0 inwoners
... Schiermonnikoog (GM0088) ontvangt van Eemsmond (GM1651), 61 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-1998:
- Ontvangen van Groningen (PV20), 0 hectare met 1 woning en 5 inwoners
... Smallingerland (GM0090) ontvangt van Marum (GM0025), 0 hectare met 1 woning en 5 inwoners

",,,,,,,,,,,,,,,,,,
PV22  ,Drenthe (PV),"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.

Grenswijziging per 01-01-2009:
- Over naar Groningen (PV20), 3 hectare met 0 woningen en 0 inwoners
... Over van Noordenveld (GM1699) naar Groningen (GM0014), 3 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-1998:
- Over naar Groningen (PV20), 81 hectare met 17 woningen en 86 inwoners
... Eelde (GM0113) wordt opgeheven en gaat gedeeltelijk over naar Groningen (GM0014), 81 hectare met 17 woningen en 86 inwoners

Grenswijziging per 01-01-1997:
- Ontvangen van Overijssel (PV23), 81 hectare met 5 woningen en 10 inwoners
... Meppel (GM0119) ontvangt van Staphorst (GM0180), 81 hectare met 5 woningen en 10 inwoners

",,,,,,,,,,,,,,,,,,
